ID	Source	Change	Target
Maya0119	Tene' áak'ab kin bin merkaado	TYPE:NEG	Tene' ma' áak'ab kin bin merkaadoi'
Maya0120	Tene' áak'ab kin bin merkaado	SUBTYPE:INT	Tene' wáaj áak'ab kin bin merkaado
Maya0317	Ko'one'ex ich kool	PERSON:1_PL	Ko'ox ich kool
Maya0620	Táan a bine'ex ich kool	TYPE:NEG	Ma' táan a bine'ex ich kooli'
Maya0621	Táan a bine'ex ich kool	SUBTYPE:INT	Táan wáaj a bine'ex ich kool
Maya0618	Táan u bino'ob ich kool	TYPE:NEG	Ma' táan u bino'ob ich kooli'
Maya0619	Táan u bino'ob ich kool	SUBTYPE:INT	Táan wáaj u bino'ob ich kool
Maya0289	Ma' táan in bin ich kooli'	PERSON:2_SI	Ma' táan a bin ich kooli'
Maya0290	Ma' táan in bin ich kooli'	PERSON:3_SI	Ma' táan u bin ich kooli'
Maya0291	Ma' táan in bin ich kooli'	PERSON:3_PL	Ma' táan u bino'ob ich kooli'
Maya0292	Ma' táan in bin ich kooli'	PERSON:2_PL	Ma' táan a bine'ex ich kooli'
Maya0293	Ma' táan in bin ich kooli'	PERSON:1_PL	Ma' táan ek bin ich kooli'
Maya0075	Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	PERSON:3_SI	Jayp'éel k'iino'ob ku bin tu k'íiwikil koonol
Maya0076	Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	PERSON:3_PL	jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol
Maya0077	Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	PERSON:2_PL	Jayp'éel k'iino'ob ka bine'ex tu k'íiwikil koonol
Maya0258	Tin konaj in wotoch	PERSON:2_SI	Ta konaj a wotoch
Maya0594	Te' in taal tu kaajil Kopomae'	PERSON:2_SI	Te' a taal tu kaajil Kopomae'
Maya0595	Te' in taal tu kaajil Kopomae'	PERSON:3_SI	Te' u taal tu kaajil Kopomae'
Maya0596	Te' in taal tu kaajil Kopomae'	PERSON:1_PL	Te' k taal tu kaajil Kopomae'
Maya0597	Te' in taal tu kaajil Kopomae'	PERSON:2_PL	Te' a taale'ex tu kaajil Kopomae'
Maya0598	Te' in taal tu kaajil Kopomae'	PERSON:3_PL	Te' u taalo'ob tu kaajil Kopomae'
Maya0131	Ki'imak a wóol a bin tu k'íiwikil koonol	SUBTYPE:INT	Ki'imak wáaj a wóol a bin tu k'íiwikil koonol
Maya0475	Teche' ma' jbúulech wáaj	PERSON:3_SI	Leti'e' ma' jbúul wáaj
Maya0476	Teche' ma' jbúulech wáaj	PERSON:1_PL	To'one' ma' jbúulo'on wáaj
Maya0477	Teche' ma' jbúulech wáaj	PERSON:2_PL	Te'exe' ma' jbúule'ex wáaj
Maya0062	Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:1_SI	Ma' tin wilikech tu k'íiwikil koonol
Maya0063	Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:2_SI	Ma' ta wiliken tu k'íiwikil koonol
Maya0064	Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:1_SI	Ma' tin wiliko'ob tu k'íiwikil koonol
Maya0065	Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:1_SI	Ma' tin wilike'ex tu k'íiwikil koonol
Maya0441	Ma' tin wu'uyik ooxoli'	PERSON:2_SI	Ma' ta wu'uyik ooxoli'
Maya0442	Ma' tin wu'uyik ooxoli'	PERSON:3_SI	Ma' tu yu'ubik ooxoli'
Maya0443	Ma' tin wu'uyik ooxoli'	PERSON:3_PL	Ma' tu yu'ubiko'ob ooxoli'
Maya0444	Ma' tin wu'uyik ooxoli'	PERSON:2_PL	Ma' ta wu'uyike'ex ooxoli'
Maya0445	Ma' tin wu'uyik ooxoli'	PERSON:3_PL	Ma' tu yu'ubiko'ob ooxoli'
Maya0116	Jach k'a'abéet in bin merkaado	TYPE:NEG	Ma' jach k'a'abéet in bin merkaadoi'
Maya0117	Jach k'a'abéet in bin merkaado	SUBTYPE:INT	Jach wáaj k'a'abéet in bin merkaado
Maya0123	Táan u bin koonol tu k'íiwikil koonol	TYPE:NEG	Leti'e' ma' táan u bin koonol tu k'íiwikil koonoli'
Maya0124	Táan u bin koonol tu k'íiwikil koonol	SUBTYPE:INT	Táan wáaj u bin koonol tu k'íiwikil koonol
Maya0007	Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:2_SI	Yaan wáaj a bin koonol tu k'íiwikil koonol
Maya0008	Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_SI	Yaan wáaj u bin koonol tu k'íiwikil koonol
Maya0009	Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_SI	Yaan wáaj u bin koonol tu k'íiwikil koonol
Maya0010	Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_PL	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol
Maya0011	Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_PL	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol
Maya0012	Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:2_PL	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol
Maya0013	Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:1_PL	Yaan wáaj k bin koonol tu k'íiwikil koonol
Maya0181	Ma' tin wilikech merkaado	PERSON:2_SI	Ma' ta wiliken merkaado
Maya0646	Ma' ta wu'uyik ooxoli'	TYPE:AFF, SUBTYPE:INT	Ka wu'uyik wáaj ooxol
Maya0647	Ma' ta wu'uyik ooxoli'	SUBTYPE:INT	Ma' ta wu'uyik  wáaj ooxoli'
Maya0048	Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:2_SI	Teche' áak'ab ka bin tu k'íiwikil koonol
