Social_media 	No creo que tú hayas venido a parar al infierno. Tú no has venido, ¿verdad? Tú no has creído, ¿verdad?	Akuxi yuri neukati'erie kename pehe't+a NEKEMA.....Kepai pekatikuyet+ pemuta'uku'eiri..Tsepakutari kauka m+ya'tey+némete..
Social_media 	Por favor, Ne Kie Ten	Hik+m+t+ka Ne Kie Teuteneiyu
Social_media 	Mi Hermano	Ne Meri Ne Atste Nawani Au
Social_media 	Buenos días..	Aix+ xe uyuaxe jeje..
Social_media 	que cayó bien y fue mi compañero	keta aix+ peka tiuka etsa ne hamiku
Social_media 	que muchacha... nadie puede dejar suficiente	kekuta ukari... xewit+ x+a karana yu hayewa jjjh
Social_media 	para que venga el veneno de alguien desconocida!...	Em+ panik+ uayeyari xewit+ kati mate!...
Social_media 	estuvo envenenado...	Xeime pere´uayemani...
Social_media 	CONSTITUCIÓN POLÍTICA..	PE WA RU Kwi 'ini..
Social_media 	Tienes razón de mármol..	Tienes razon neamiku..
Social_media 	Gracias a nosotros. Estás satisfecho.	Pampariyutsi netatatsi. 'aix+a pereu'erieka.
Social_media 	Jjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj	Jjjj yarik+ bn aca xeik+ la loca jjj gracias mi bella te kiero
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS QUE REFORMA LA DE 5 DE FEBRERO.	PAMPARIYUTSI XEYUNAIT+ 'IWAMARIXI XEM+TATSI'UPAREWI. wixarika kem+tiy+aneni..tawet++ ri
Social_media 	Mira! Ya está aquí mi casa, y vendremos a tomarla, y le daremos una sepultura.	Hiik+ ri x+a, k+m+ ri nekie. 'echiwa nawá tep+'iyu, xakí tep+kwiyu. Nep+xe'inie 'iwamarixi nekie El Buruato... XAKÍ KANIKWAIYAKA.
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS...	WEIYAK+ XITAKWA MIEME...
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS	XEP+KAUYEWEKÁ 'IWAMARIXI XEYUINAIT+
Social_media 	Padres, sentencien con nuestro dormitorio"-	Tamatsi Kauyumarie ta kupuri mat+a meyueniet+*
Social_media 	y ha llorado mientras yo estaba en el campo"-	Ha tsuat+ me t+a ne ne hei yehuakaku*
Social_media 	-"Tú eres su esposo, duende"-	ek+ pa+na, chipeureuerieka*
Social_media 	que no puede ser así	Kauka m+pa+ aneni
Social_media 	Mónón de Ampaña con Au	M+k+ Ts+ Ampapa Xei Waxayaritsie Ekame Au Yak+
Social_media 	Jajajaj está bien	Jajajajaj Aix+ Ts+
Social_media 	Wixarika no es un juego de armas, pero la montaña es un juego de armas	Wixarika Ts+ Kwinie Katiyu Yeiwieka,m++ri Teka Heu Uwame Xe Te Eerie
Social_media 	Es un verdadero collar.	Yemets+ karik+ wixarika.
Social_media 	por ejemplo el aceite de oliva!	tam+ paraxi teukarieya! taparie kiekame...
Social_media 	¡Tampoco! Por cierto... Jej	Tam+! Ukits+ karik+... Jej
Social_media 	Está bien. ¡Maestro, nuestro hermano ha ganado!	'Aix+ kwenet+. Nematsuri. 'Uxa'a ta'equipo m+ra'iwa. Pa+ reik+a!
Social_media 	Aaa... es cierto... suave... es eso... comido	Aaaaaa....k kuta....kaukatsi....m+pa+ane....kwa aa
Social_media 	Estaba vacía	Aaa kaukats+
Social_media 	¿Cómo se llama tu hija	Ketitewa a niwe
Social_media 	mi hija se sentó así	ne niwe hapa+ ranyererie
Social_media 	yo me entristezco... como un pájaro llorando.. sí...jj	Ne peyuksheiweriet+ya...wiki matsuaka hepa+..k kuta....jjj
Social_media 	Jijijiji..jalisco..quien..	Jijijiji k paist+..jalisco..tanaka..
Social_media 	¡Ya no estoy aquí! ¡Nadie va a venir!"-	Yeri neka ni tuaka! xewit+ mi axe!
Social_media 	tantas como quieras con mis pies, córtate conmigo y yo te ayudaré,	Keepa+meme Pemaat+k+ Ke Ne At+a Ne Kie,keetiuuru M+k+ Ne Wixi Ne Kani Mim+k+,jaaajaajaa
Social_media 	La niña. No.	Uka nunutsi. Hawaik+.
Social_media 	Presidente de Chile	Chilekunielet+ kename jiji
Social_media 	que puedo hacer yo!-	kekuta ne anet+ nepu hayewarie!
Social_media 	Mis parientes, mis hermanos, ¡están durmiendo!... ¡Ya tenemos el sueño!	Ne marema, ne 'iwama, ne hamikuma xeke neu kutsuniri pu y+wi!... Teuwa reu hein+kaniri! 'Uxa 'a ta.
Social_media 	¿Qué irá a ser de ella? .. Yo también quiero ganarle.	Kekuta penawanieni rik+ uka apetewa. ..ne tsiere muwa p+netsinake ta iwamua wajets+a.
Social_media 	el cuervo caerá sobre mi suerte, y la cargará. Tengan cuidado.	kuaits+ peukuweni ne walu,kalima la wiyat+.amarima ax+a.
Social_media 	qué es lo que hace mi mujer. Está robando a la niña.	Ke kuta muwa pereyuriene ne ukaratsi. Penawairiene rik+ uka nunutsi.
Social_media 	Estás loco.	Aix+a pep+reu'erieka.
