ID	Source	Change	Target
Bribri0291	Ye' shka'	TYPE:NEG	Kë̀ ye' shkàne̠
Bribri0292	Ye' shka'	MODE:DES, TENSE:IPFV_REC, ASPECT:IPFV	Ye' shka'ku̠
Bribri0293	Ye' shka'	TYPE:NEG, MODE:DES, TENSE:IPFV_REC, ASPECT:IPFV	Kë̀ ye' shka'ku̠
Bribri0294	Ye' shka'	TYPE:NEG, MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA	Kë̀ shkar
Bribri0295	Ye' shka'	TYPE:NEG, TENSE:PRF_PROG, ABSNUM:PL, PERSON:1_PL_EXC	Sa' kë̀ ku̠'bak shkö́k
Bribri0296	Ye' shka'	ASPECT:INC	Ye' shka'mi̠
Bribri0297	Ye' shka'	TENSE:PRF_REC, ASPECT:INC	Ye' shkémi̠
Bribri0298	Ye' shka'	TENSE:IPFV_REC, ASPECT:IPFV	Ye' shkö̀
Bribri0299	Ye' shka'	TYPE:NEG, TENSE:IPFV_REC, ASPECT:IPFV	Kë̀ ye' shkö
Bribri0300	Ye' shka'	TENSE:IPFV_PROG, ASPECT:IPFV	Ye' tso shkö́k
Bribri0301	Ye' shka'	TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV	Ye' kë̀ ku̠ shkö́k
Bribri0302	Ye' shka'	TENSE:PRF_PROG	Ye' bák shkö́k
Bribri0303	Ye' shka'	TYPE:NEG, TENSE:PRF_PROG	Ye' kë̀ ku̠'bak shkö́k
Bribri0304	Ye' shka'	MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:2_SI	Be' shkö́
Bribri0305	Ye' shka'	TYPE:NEG, MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:2_SI	Kë̀ be' shkök
Bribri0306	Ye' shka'	MODE:EXH, TENSE:IPFV_REC, ASPECT:IPFV, ABSNUM:PL, PERSON:1_PL_INC	Se' shkö̀
Bribri0307	Ye' shka'	MODE:ADVERS	Ye' shka'
Bribri0308	Ye' shka'	TENSE:PRF_REC	Ye' shké
Bribri0309	Ye' shka'	TYPE:NEG, TENSE:PRF_REC	Ye' kë̀ shkàne̠
Bribri0310	Ye' shka'	TENSE:IPFV_HAB, ASPECT:IPFV	Ye' shkö̀ke̠
Bribri0311	Ye' shka'	TYPE:NEG, TENSE:IPFV_HAB, ASPECT:IPFV	Kë̀ ye' shkö̀ku̠
Bribri0312	Ye' shka'	TENSE:FUT_POT, ASPECT:IPFV	Ye' shkö̀mi̠
Bribri0313	Ye' shka'	TYPE:NEG, TENSE:FUT_POT, ASPECT:IPFV	Kë̀ ye' shkök
Bribri0314	Ye' shka'	TENSE:FUT_CER, ASPECT:IPFV	Ye' shkö̀râ
Bribri0315	Ye' shka'	TYPE:NEG, TENSE:FUT_CER, ASPECT:IPFV	Kë̀ ye' shkö̀pa
Bribri0316	Ye' shka'	TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA	Shkàr
Bribri0317	Ye' shka'	TYPE:NEG, TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA	Kë̀ shkàr
Bribri0318	Ye' shka'	VOICE:MID, ABSNUM:NI, PERSON:NA	Shkàne̠
Bribri0319	Ye' shka'	TYPE:NEG, VOICE:MID, ABSNUM:NI, PERSON:NA	Kë̀ shkàne̠
Bribri0320	Ye' shka'	TENSE:PRF_REC, VOICE:MID, ABSNUM:NI, PERSON:NA	Shkàna̠
Bribri0321	Ye' shka'	TYPE:NEG, TENSE:PRF_REC, VOICE:MID, ABSNUM:NI, PERSON:NA	Kë̀ shkàne̠
Bribri0322	Ye' shka'	TENSE:IPFV_HAB, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA	Shkàrke̠
Bribri0323	Ye' shka'	TYPE:NEG, TENSE:IPFV_HAB, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA	Kë̀ shkàrku̠
Bribri0324	Ye' shka'	TENSE:FUT_POT, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA	Shkàrmi̠
Bribri0325	Ye' shka'	TYPE:NEG, TENSE:FUT_POT, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA	Kë̀ shkànu̠k
Bribri0326	Ye' shka'	TENSE:FUT_CER, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA	Shkàrdâ
Bribri0327	Ye' shka'	TYPE:NEG, TENSE:FUT_CER, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA	Kë̀ shkàrpa
Bribri0328	Ye' shka'	TENSE:PAS_PLU, VOICE:MID, ABSNUM:NI, PERSON:NA	Shkárule
Bribri0329	Ye' shka'	TENSE:PAS_PLU	Ye' shkárule
Bribri0330	Ye' shka'	TYPE:NEG, TENSE:PAS_PLU, VOICE:MID, ABSNUM:NI, PERSON:NA	Kë̀ shkárule
Bribri0331	Ye' shka'	TYPE:NEG, TENSE:PAS_PLU	Ye' kë̀ shkárule
Bribri0332	Ye' shka'	MODE:POT, TENSE:IPFV_REC, ASPECT:IPFV	Ye' shkó
Bribri0333	Ye' shka'	TYPE:NEG, MODE:POT, TENSE:IPFV_REC, ASPECT:IPFV	Kë̀ ye' shko
Bribri0957	Ye' tö i sík	TYPE:NEG	Ye' kë̀ wa̠ i síne̠
Bribri0958	Ye' tö i sík	TENSE:IPFV_REC, ASPECT:IPFV	Ye' tö i skè
Bribri0959	Ye' tö i sík	TENSE:IPFV_PROG, ASPECT:IPFV	Ye' tso i skö́k
Bribri0960	Ye' tö i sík	TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV	Ye' kë̀ ku̠ i skö́k
Bribri0961	Ye' tö i sík	TENSE:PRF_PROG	Ye' bák i skö́k
Bribri0962	Ye' tö i sík	TYPE:NEG, TENSE:PRF_PROG	Ye' kë̀ ku̠'bak i skö́k
Bribri0963	Ye' tö i sík	TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:2_SI	Be' tso i skö́k
Bribri0964	Ye' tö i sík	TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:2_SI	Be' kë̀ ku̠ i skö́k
Bribri0965	Ye' tö i sík	TENSE:PRF_PROG, PERSON:2_SI	Be' bák i skö́k
Bribri0966	Ye' tö i sík	TYPE:NEG, TENSE:PRF_PROG, PERSON:2_SI	Be' kë̀ ku̠'bak i skö́k
Bribri0967	Ye' tö i sík	TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:3_SI	Ie' tso i skö́k
Bribri0968	Ye' tö i sík	TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:3_SI	Ie' kë̀ ku̠ i skö́k
Bribri0969	Ye' tö i sík	TENSE:PRF_PROG, PERSON:3_SI	Ie' bák i skö́k
Bribri0970	Ye' tö i sík	TYPE:NEG, TENSE:PRF_PROG, PERSON:3_SI	Ie' kë̀ ku̠'bak i skö́k
Bribri0971	Ye' tö i sík	TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:1_PL_EXC	Sa' tso i skö́k
Bribri0972	Ye' tö i sík	TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:1_PL_EXC	Sa' kë̀ ku̠ i skö́k
Bribri0973	Ye' tö i sík	TENSE:PRF_PROG, PERSON:1_PL_EXC	Sa' bák i skö́k
Bribri0974	Ye' tö i sík	TYPE:NEG, TENSE:PRF_PROG, PERSON:1_PL_EXC	Sa' kë̀ ku̠'bak i skö́k
Bribri0975	Ye' tö i sík	TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:1_PL_INC	Se' tso i skö́k
Bribri0976	Ye' tö i sík	TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:1_PL_INC	Se' kë̀ ku̠ i skö́k
Bribri0977	Ye' tö i sík	TENSE:PRF_PROG, PERSON:1_PL_INC	Se' bák i skö́k
Bribri0978	Ye' tö i sík	TYPE:NEG, TENSE:PRF_PROG, PERSON:1_PL_INC	Se' kë̀ ku̠'bak i skö́k
Bribri0979	Ye' tö i sík	TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:2_PL	A' tso i skö́k
Bribri0980	Ye' tö i sík	TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:2_PL	A' kë̀ ku̠ i skö́k
Bribri0981	Ye' tö i sík	TENSE:PRF_PROG, PERSON:2_PL	A' bák i skö́k
Bribri0982	Ye' tö i sík	TYPE:NEG, TENSE:PRF_PROG, PERSON:2_PL	A' kë̀ ku̠'bak i skö́k
Bribri0983	Ye' tö i sík	TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:3_PL	Ie'pa tso i skö́k
Bribri0984	Ye' tö i sík	TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:3_PL	Ie'pa kë̀ ku̠ i skö́k
Bribri0985	Ye' tö i sík	TENSE:PRF_PROG, PERSON:3_PL	Ie'pa bák i skö́k
Bribri0986	Ye' tö i sík	TYPE:NEG, TENSE:PRF_PROG, PERSON:3_PL	Ie'pa kë̀ ku̠'bak i skö́k
Bribri0987	Ye' tö i sík	VOICE:MID, PERSON:3_SI	I síne̠
Bribri0988	Ye' tö i sík	TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, PERSON:3_SI	I sír
Bribri0229	Ye' tö i kíme̠'	TYPE:NEG, TENSE:PRF_REC	Ye' kë̀ wa̠ i kía̠mè̠ne̠
Bribri0230	Ye' tö i kíme̠'	TENSE:IPFV_PROG, ASPECT:IPFV	Ye' tso i kímu̠k
Bribri0231	Ye' tö i kíme̠'	MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:NA	I kimú̠
Bribri0232	Ye' tö i kíme̠'	TENSE:IPFV_REC, ASPECT:IPFV	Ye' tö i kimè̠
Bribri0233	Ye' tö i kíme̠'	TENSE:IPFV_HAB, ASPECT:IPFV	Ye' tö i kímè̠ke
Bribri0761	Ye' dör àrros tó̠ ñè̠	TYPE:NEG	Ye' kë̀ wa̠ àrros tò̠ne̠ ñè̠
Bribri0762	Ye' dör àrros tó̠ ñè̠	ASPECT:INC	Ye' dör àrros tó̠mi̠ ñè̠
